納品番号	FBA15CYKD0VQ
納品名	FBA (2022/01/09 16:07) - 1
納品プラン番号	PLN1QPX6KL
納品先	NRT5
SKU 合計	14
商品合計数	62

SKU	商品名	ASIN	FNSKU	製品コード	コンディション	梱包	梱包種類	ラベル貼付	同梱
16-2SWK-FX0E	【Smart-Bear】P002 キッズ服 Tシャツ ズボン 男の子 女の子 パジャマ 前開きキッズ 部屋着 寝間着ルームウェア ホームサービス ベビー 長袖 ボタン トップス ショートパンツ 上下セット服 子供 春 秋 冬 七五三 誕生日 新年 (100cm, 自動車柄)	B09NJF7F8W	X000ZJ3JDL	UPC: 703556069865	新品	不要	"--"	出品者	2
87-W2HM-4SWM	【Smart-bear】T006 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 サメ (XL, ブルー)	B07RTH7YYW	X000RJJNMP	UPC: 703556062217	新品	不要	"--"	出品者	1
8Q-VTYS-YQ5Z	【Smart-Bear】W005 子供の靴下 男の子 女の子 ソックス 通園 通学 抗菌 通気性 5足セット (L)	B07RNDQ5S7	X000RMJ4KD	UPC: 703556062811	新品	不要	"--"	出品者	15
9N-4FPK-JMKR	[Smart-Bear] T308 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 (ピンク, measurement_17_point_0_centimeters)	B089XZRV3Z	X000UXXD83	UPC: 703556068448	新品	不要	"--"	出品者	3
C7-0SVD-ARIO	[Smart-Bear] T306 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 プルハンドル付き (恐竜柄, measurement_20_point_0_centimeters)	B08GGBQGFP	X000VJZLMR	--	新品	不要	"--"	出品者	3
C8-VY3A-HL06	【Smart-Bear】W005 子供の靴下 男の子 女の子 ソックス 通園 通学 抗菌 通気性 5足セット (M)	B07RRJ5TNV	X000RJ6T1D	UPC: 703556062804	新品	不要	"--"	出品者	10
EV-5CEC-EMJP	[Smart-Bear] T306 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 プルハンドル付き (サメ柄, measurement_20_point_0_centimeters)	B089WGW78M	X000UXVU83	UPC: 703556068318	新品	不要	"--"	出品者	2
M9-RIG5-DRKF	【Smart-Bear】W101 立体 可愛い動物柄 通学 通園 靴下 キッズ ソックス 女の子 ソックス カラーフル 5足セット (L)	B07SV1BD6S	X000RU9VA3	UPC: 703556063627	新品	不要	"--"	出品者	10
MJ-BMA6-349G	【Smart-Bear】W103 ガールズ ボーイ 靴下 子供 キッズ 笑顔 厚い 暖かい 秋 冬 防寒 靴下 ソックス 女の子 男の子 ウールソックス 5足セット (XL:18〜21cm(7-9歳))	B08R7F2GXX	X000WKT2FR	UPC: 703556069162	新品	不要	"--"	出品者	2
NR-5Z4P-2YBS	【Smart-Bear】W003 子供の靴下 立体 可愛い動物柄 通学 通園 キッズ ソックス 女の子 5足セット (M)	B07RNDMDMY	X000RJN8F3	UPC: 703556062729	新品	不要	"--"	出品者	3
SN-NFFV-BYW0	[Smart-Bear] T306 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 プルハンドル付き (サメ柄, measurement_17_point_0_centimeters)	B089WHXT1Z	X000UXRIBL	UPC: 703556068288	新品	不要	"--"	出品者	3
UT-1YAF-6G6B	【Smart-Bear】W019 子供の靴下 ベビー 幼児用 キッズ 子供 靴下 キッズ 女の子 男の子 5足セット 薄手 通気 夏 (L)	B07STZSQF2	X000RSGZRH	UPC: 703556063566	新品	不要	"--"	出品者	4
Z3-XTHR-KMEU	【Smart-Bear】W101 立体 可愛い動物柄 通学 通園 靴下 キッズ ソックス 女の子 ソックス カラーフル 5足セット (S)	B07SY8KW7D	X000RU9V9T	UPC: 703556063603	新品	不要	"--"	出品者	2
ZG-5AI3-DLD9	【Smart-Bear】P002 キッズ服 Tシャツ ズボン 男の子 女の子 パジャマ 前開きキッズ 部屋着 寝間着ルームウェア ホームサービス ベビー 長袖 ボタン トップス ショートパンツ 上下セット服 子供 春 秋 冬 七五三 誕生日 新年 (120cm, パンダ柄)	B09N2R39T8	X000ZJ41M9	UPC: 703556069704	新品	不要	"--"	出品者	2
