納品番号	FBA15D00M1YV
納品名	FBA (2022/03/01 16:55) - 1
納品プラン番号	PLN1R73XRX
納品先	NRT5
SKU 合計	17
商品合計数	94

SKU	商品名	ASIN	FNSKU	製品コード	コンディション	梱包	梱包種類	ラベル貼付	同梱
3T-Y9S7-7048	【Smart-Bear】W003 子供の靴下 立体 可愛い動物柄 通学 通園 キッズ ソックス 女の子 5足セット (L)	B07RNDP5VC	X000RJN7VX	UPC: 703556062736	新品	不要	"--"	出品者	5
8B-NUB8-J7O4	【Smart-Bear】W023 夏 ベビー 幼児用 キッズ 子供 靴下 男の子 女の子 かわいい スポーツ 無地 通気 5足セット (動物柄, L:15〜18cm(5-7歳))	B088D9MYLT	X000UNOU3Z	UPC: 703556067946	新品	不要	"--"	出品者	2
8Q-VTYS-YQ5Z	【Smart-Bear】W005 子供の靴下 男の子 女の子 ソックス 通園 通学 抗菌 通気性 5足セット (L)	B07RNDQ5S7	X000RMJ4KD	UPC: 703556062811	新品	不要	"--"	出品者	11
91-7A3K-7U8I	【Smart-Bear】W003 子供の靴下 立体 可愛い動物柄 通学 通園 キッズ ソックス 女の子 5足セット (S)	B07RRJ3RVV	X000RJN8FD	UPC: 703556062712	新品	不要	"--"	出品者	20
A8-5E1R-YROC	【Smart-Bear】P002 キッズ服 Tシャツ ズボン 男の子 女の子 パジャマ 前開きキッズ 部屋着 寝間着ルームウェア ホームサービス ベビー 長袖 ボタン トップス ショートパンツ 上下セット服 子供 春 秋 冬 七五三 誕生日 新年 (110cm, オレンジ鹿)	B07ZDF2949	X000SYHB73	UPC: 703556065799	新品	不要	"--"	出品者	2
C8-VY3A-HL06	【Smart-Bear】W005 子供の靴下 男の子 女の子 ソックス 通園 通学 抗菌 通気性 5足セット (M)	B07RRJ5TNV	X000RJ6T1D	UPC: 703556062804	新品	不要	"--"	出品者	20
EW-TDOM-26PY	[Smart-Bear] T306 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 プルハンドル付き (サメ柄, measurement_16_point_0_centimeters)	B089WHLQGT	X000UXQ6N7	UPC: 703556068271	新品	不要	"--"	出品者	2
F7-VUUV-OD1C	【Smart-Bear】W017 可愛い キッズ 子供 靴下 ソックス お姫様 通気 6足 セット カラフル 女の子 薄め (L)	B07SPWQD3T	X000RQ88JH	UPC: 703556063313	新品	不要	"--"	出品者	5
JH-6QHS-4DIJ	【Smart-Bear】W017 可愛い キッズ 子供 靴下 ソックス お姫様 通気 6足 セット カラフル 女の子 薄め (XXL)	B07SPZD9NB	X000RS68QP	UPC: 703556063337	新品	不要	"--"	出品者	5
M7-PIGM-QQAP	【Smart-Bear】P002 キッズ服 Tシャツ ズボン 男の子 女の子 パジャマ 前開きキッズ 部屋着 寝間着ルームウェア ホームサービス ベビー 長袖 ボタン トップス ショートパンツ 上下セット服 子供 春 秋 冬 七五三 誕生日 新年 (110cm, バス柄)	B09NSN9VVQ	X000ZKDUJN	UPC: 703556070052	新品	不要	"--"	出品者	1
M9-RIG5-DRKF	【Smart-Bear】W101 立体 可愛い動物柄 通学 通園 靴下 キッズ ソックス 女の子 ソックス カラーフル 5足セット (L)	B07SV1BD6S	X000RU9VA3	UPC: 703556063627	新品	不要	"--"	出品者	5
N4-FJS5-AX0C	[Smart-Bear] T306 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 プルハンドル付き (サメ柄, measurement_18_point_5_centimeters)	B089WGPBWW	X000UXVU8X	UPC: 703556068295	新品	不要	"--"	出品者	1
NR-5Z4P-2YBS	【Smart-Bear】W003 子供の靴下 立体 可愛い動物柄 通学 通園 キッズ ソックス 女の子 5足セット (M)	B07RNDMDMY	X000RJN8F3	UPC: 703556062729	新品	不要	"--"	出品者	5
OL-SMR2-XQ5N	【Smart-Bear】P002 キッズ服 Tシャツ ズボン 男の子 女の子 パジャマ 前開きキッズ 部屋着 寝間着ルームウェア ホームサービス ベビー 長袖 ボタン トップス ショートパンツ 上下セット服 子供 春 秋 冬 七五三 誕生日 新年 (110cm, 自動車柄)	B09NJD4MWR	X000ZJ3JFJ	UPC: 703556069872	新品	不要	"--"	出品者	1
QU-WN46-REY2	【Smart-Bear】W005 子供の靴下 男の子 女の子 ソックス 通園 通学 抗菌 通気性 5足セット (S)	B07RRJ2MLN	X000RKL9N5	UPC: 703556062798	新品	不要	"--"	出品者	5
UC-ZL16-GS2Z	【Smart-Bear】P002 キッズ服 Tシャツ ズボン 男の子 女の子 パジャマ 前開きキッズ 部屋着 寝間着ルームウェア ホームサービス ベビー 長袖 ボタン トップス ショートパンツ 上下セット服 子供 春 秋 冬 七五三 誕生日 新年 (120cm, バス柄)	B09NSMQLBW	X000ZKDVVP	UPC: 703556070069	新品	不要	"--"	出品者	1
Z9-4PQK-E7RU	【Smart-Bear】W018 子供 ソックス 靴下 キッズ ガールズ お姫様 ベビー 柔らかい 春 夏 秋 通気 女の子 5足セット (イチゴ, m)	B07STYCDP1	X000RTDCPJ	UPC: 703556063528	新品	不要	"--"	出品者	3
