納品番号	FBA15D14SJGV
納品名	FBA (2022/04/08 11:18) - 1
納品プラン番号	PLN1RMB4J0
納品先	NRT5
SKU 合計	13
商品合計数	54

SKU	商品名	ASIN	FNSKU	製品コード	コンディション	梱包	梱包種類	ラベル貼付	同梱
91-7A3K-7U8I	【Smart-Bear】W003 子供の靴下 立体 可愛い動物柄 通学 通園 キッズ ソックス 女の子 5足セット (S)	B07RRJ3RVV	X000RJN8FD	UPC: 703556062712	新品	不要	"--"	出品者	5
BT-GNOC-X8Y0	【Smart-Bear】W017 可愛い キッズ 子供 靴下 ソックス お姫様 通気 6足 セット カラフル 女の子 薄め (XL)	B07SPZGD94	X000RRATBV	UPC: 703556063320	新品	不要	"--"	出品者	3
DT-RMBK-MVUT	【Smart-Bear】T003 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 リュック対応 トリ 果物 花柄 (M, イエロー)	B07SRFJ9NM	X000ROSL5F	UPC: 703556063429	新品	不要	"--"	出品者	4
FN-VIR3-GDHQ	【Smart-bear】T008 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 梅花 熊 パイナップル (XL, ピンク)	B07RN3R4CY	X000RJ3M1D	UPC: 703556062347	新品	不要	"--"	出品者	3
KU-4QVF-H97O	【Smart-Bear】T003 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 リュック対応 トリ 果物 花柄 (XL, イエロー)	B07SSF9C9K	X000ROSLCD	UPC: 703556063443	新品	不要	"--"	出品者	3
L3-JQ85-GRB6	【Smart-Bear】P002 キッズ服 Tシャツ ズボン 男の子 女の子 パジャマ 前開きキッズ 部屋着 寝間着ルームウェア ホームサービス ベビー 長袖 ボタン トップス ショートパンツ 上下セット服 子供 春 秋 冬 七五三 誕生日 新年 (130cm, ブルー鹿)	B07ZDDNJXQ	X000SYG8FJ	UPC: 703556065867	新品	不要	"--"	出品者	2
NR-5Z4P-2YBS	【Smart-Bear】W003 子供の靴下 立体 可愛い動物柄 通学 通園 キッズ ソックス 女の子 5足セット (M)	B07RNDMDMY	X000RJN8F3	UPC: 703556062729	新品	不要	"--"	出品者	5
O7-P2TB-P88J	【Smart-Bear】P002 キッズ服 Tシャツ ズボン 男の子 女の子 パジャマ 前開きキッズ 部屋着 寝間着ルームウェア ホームサービス ベビー 長袖 ボタン トップス ショートパンツ 上下セット服 子供 春 秋 冬 七五三 誕生日 新年 (100cm, パンダ柄)	B09N2Q6J6K	X000ZJ41JH	UPC: 703556069681	新品	不要	"--"	出品者	2
OY-Q0PD-GBQO	【Smart-Bear】P001 子供用長袖パジャマ 男の子と女の子の下着子供の秋服セット綿の下着子供用コットンセーターパジャマ 丈夫で快適 綿100％ルームウェア長袖パジャマ上下セットパジャマ 2点セット子供服 長袖 寝間着 上下セット (130cm, ピンクペンギン)	B07ZDD4WLZ	X000SYHBL9	UPC: 703556065713	新品	不要	"--"	出品者	2
SE-6APE-EDI4	【Smart-Bear】T004 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (イエロー, M)	B0782VLBQ7	X000WRDPNZ	UPC: 680577733565	新品	不要	"--"	出品者	10
SX-6PUQ-K56B	[Smart-Bear] T308 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 (ホワイト, measurement_19_point_0_centimeters)	B089XYRGZB	X000UXXD1Z	UPC: 703556068516	新品	不要	"--"	出品者	2
TR-7WMM-B1MU	[Smart-Bear] T303 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 (イエロー, measurement_21_point_0_centimeters)	B089WG5M44	X000UXVQ0F	UPC: 703556068240	新品	不要	"--"	出品者	5
ZF-2SU1-0BTA	【Smart-Bear】T003 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 リュック対応 トリ 果物 花柄 (L, イエロー)	B07SXR9R43	X000RS9911	UPC: 703556063436	新品	不要	"--"	出品者	8
