納品番号	FBA15D16SXBJ
納品名	FBA (2022/04/10 21:39) - 1
納品プラン番号	PLN1RNBYSV
納品先	TYO2
SKU 合計	19
商品合計数	93

SKU	商品名	ASIN	FNSKU	製品コード	コンディション	梱包	梱包種類	ラベル貼付	同梱
28-JBW4-RJOM	[Smart-Bear] T308 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 (グリーン, measurement_22_point_5_centimeters)	B098DWTGXY	X000Y4QZQF	UPC: 703556069612	新品	不要	"--"	出品者	3
29-0QHZ-UD4C	【Smart-Bear】T003 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 リュック対応 トリ 果物 花柄 (M, ピンク)	B07STH54RG	X000RS9JTX	UPC: 703556063375	新品	不要	"--"	出品者	6
2T-CEDX-VBNH	【Smart-Bear】W001 子供の靴下 ソックス 綿 メッシュ素材 薄型 春夏適用 通学 男の子 女の子 キッズ 通園 通学 5足セット (XL)	B0888CBJL3	X000UMZTOF	UPC: 703556067632	新品	不要	"--"	出品者	3
3T-Y9S7-7048	【Smart-Bear】W003 子供の靴下 立体 可愛い動物柄 通学 通園 キッズ ソックス 女の子 5足セット (L)	B07RNDP5VC	X000RJN7VX	UPC: 703556062736	新品	不要	"--"	出品者	5
8Y-B81U-KU22	【Smart-Bear】T004 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (ピンク, S)	B0782T4WWX	X000WRDZ71	UPC: 680577733541	新品	不要	"--"	出品者	10
91-7A3K-7U8I	【Smart-Bear】W003 子供の靴下 立体 可愛い動物柄 通学 通園 キッズ ソックス 女の子 5足セット (S)	B07RRJ3RVV	X000RJN8FD	UPC: 703556062712	新品	不要	"--"	出品者	10
C7-0SVD-ARIO	[Smart-Bear] T306 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 プルハンドル付き (恐竜柄, measurement_20_point_0_centimeters)	B08GGBQGFP	X000VJZLMR	--	新品	不要	"--"	出品者	3
EO-0LNC-NHMG	【Smart-Bear】P002 キッズ服 Tシャツ ズボン 男の子 女の子 パジャマ 前開きキッズ 部屋着 寝間着ルームウェア ホームサービス ベビー 長袖 ボタン トップス ショートパンツ 上下セット服 子供 春 秋 冬 七五三 誕生日 新年 (110cm, ブルー恐竜柄)	B09NJD697S	X000ZJ41JR	UPC: 703556069933	新品	不要	"--"	出品者	3
F6-ONE1-992E	【Smart-bear】T008 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 梅花 熊 パイナップル (XXXL, ピンク)	B07RN5DNXS	X000RMF9L1	UPC: 703556062361	新品	不要	"--"	出品者	3
FK-SQOE-Y997	【Smart-Bear】T004 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (イエロー, S)	B0782N7XDJ	X000WRDZ6R	UPC: 680577733534	新品	不要	"--"	出品者	10
MA-QSR9-916V	【Smart-Bear】T004 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (ピンク, L)	B0782PTKL2	X000WRECM3	UPC: 680577733602	新品	不要	"--"	出品者	5
N4-FJS5-AX0C	[Smart-Bear] T306 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 プルハンドル付き (サメ柄, measurement_18_point_5_centimeters)	B089WGPBWW	X000UXVU8X	UPC: 703556068295	新品	不要	"--"	出品者	3
NR-5Z4P-2YBS	【Smart-Bear】W003 子供の靴下 立体 可愛い動物柄 通学 通園 キッズ ソックス 女の子 5足セット (M)	B07RNDMDMY	X000RJN8F3	UPC: 703556062729	新品	不要	"--"	出品者	5
Q0-HG8U-P1E5	[Smart-Bear] T308 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 (ピンク, measurement_15_point_0_centimeters)	B089YBYJDS	X000UXXDJR	UPC: 703556068363	新品	不要	"--"	出品者	3
SX-6PUQ-K56B	[Smart-Bear] T308 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 (ホワイト, measurement_19_point_0_centimeters)	B089XYRGZB	X000UXXD1Z	UPC: 703556068516	新品	不要	"--"	出品者	3
