納品番号	FBA15D26D53K
納品名	FBA (2022/05/12 10:23) - 1
納品プラン番号	PLN1RZVRTH
納品先	TYO2
SKU 合計	31
商品合計数	112

SKU	商品名	ASIN	FNSKU	製品コード	コンディション	梱包	梱包種類	ラベル貼付	同梱
22-BGZI-G4D5	【Smart-Bear】T004 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (ブルー, M)	B0782YMNPM	X000WRDOQN	UPC: 680577733589	新品	不要	"--"	出品者	5
47-P9CG-5ZX5	【Smart-Bear】W022 可愛い キッズ 子供 靴下 ソックス 豚 パンダ 動物柄 くるぶし ジュニア 通気 メッシュ くつした 男の子 女の子 ソックス 綿 5足セット (動物柄, XL:18〜21cm(8-11歳))	B09QHVNT46	X000ZT0155	UPC: 703556070151	新品	不要	"--"	出品者	4
4O-JFNX-RKMV	【Smart-Bear】W007 子供の靴下 ソックス 夏 メッシュ素材 可愛い お姫様 学生用 通園 通学 男女兼用 吸湿 通気 5足セット (L, 男)	B07RRL7Q84	X000RLHM0N	UPC: 703556063085	新品	不要	"--"	出品者	2
53-C8NZ-UF4D	【Smart-Bear】T004 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (イエロー, L)	B0786KYY7Y	X000WRDOQ3	--	新品	不要	"--"	出品者	10
7X-XMTH-ED40	【Smart-Bear】T003 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 リュック対応 トリ 果物 花柄 (XL, ピンク)	B07SVL7M3S	X000RRDNGJ	UPC: 703556063399	新品	不要	"--"	出品者	1
91-6HG1-LVP0	[Smart-Bear] T309 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 プルハンドル付き (イエロー, measurement_22_point_5_centimeters)	B09838NFL3	X000Y3RL19	UPC: 703556069582	新品	不要	"--"	出品者	3
A6-0POG-ZP4D	【Smart-Bear】T008 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 梅花 熊 パイナップル (M, グレー)	B07RP62386	X000RJJTZL	UPC: 703556062446	新品	不要	"--"	出品者	3
C8-VY3A-HL06	【Smart-Bear】W005 子供の靴下 男の子 女の子 ソックス 通園 通学 抗菌 通気性 5足セット (M)	B07RRJ5TNV	X000RJ6T1D	UPC: 703556062804	新品	不要	"--"	出品者	5
CT-Q374-BJ1E	[Smart-Bear] T308 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 (ピンク, measurement_19_point_0_centimeters)	B089Y5Q82W	X000UXXDJH	UPC: 703556068523	新品	不要	"--"	出品者	3
D3-A97R-HYD6	【Smart-Bear】T003 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 リュック対応 トリ 果物 花柄 (L, ピンク)	B07SXQV8NQ	X000RS991B	UPC: 703556063382	新品	不要	"--"	出品者	4
