納品番号	FBA15D2GH509
納品名	FBA (2022/05/19 20:05) - 1
納品プラン番号	PLN1S2P35W
納品先	NRT5
SKU 合計	20
商品合計数	62

SKU	商品名	ASIN	FNSKU	製品コード	コンディション	梱包	梱包種類	ラベル貼付	同梱
29-0QHZ-UD4C	【Smart-Bear】T003 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 リュック対応 トリ 果物 花柄 (M, ピンク)	B07STH54RG	X000RS9JTX	UPC: 703556063375	新品	不要	"--"	出品者	5
87-W2HM-4SWM	【Smart-bear】T006 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 サメ (XL, ブルー)	B07RTH7YYW	X000RJJNMP	UPC: 703556062217	新品	不要	"--"	出品者	2
D3-A97R-HYD6	【Smart-Bear】T003 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 リュック対応 トリ 果物 花柄 (L, ピンク)	B07SXQV8NQ	X000RS991B	UPC: 703556063382	新品	不要	"--"	出品者	2
EM-GSK7-J02B	【Smart-Bear】T003 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 リュック対応 トリ 果物 花柄 (S, ピンク)	B07STH5GK7	X000RQCC3Z	UPC: 703556063368	新品	不要	"--"	出品者	5
EV-TGZ8-084V	【Smart-KM】T007 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 透明 クリア (ホワイト, S)	B0785671P8	X000RJJ4EH	--	新品	不要	"--"	出品者	2
EW-TDOM-26PY	[Smart-Bear] T306 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 プルハンドル付き (サメ柄, measurement_16_point_0_centimeters)	B089WHLQGT	X000UXQ6N7	UPC: 703556068271	新品	不要	"--"	出品者	2
FK-SQOE-Y997	【Smart-Bear】T004 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (イエロー, S)	B0782N7XDJ	X000WRDZ6R	UPC: 680577733534	新品	不要	"--"	出品者	15
FQ-TZLP-HWK1	【Smart-Bear】T004 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (ピンク, M)	B0782RGD4B	X000WRDOQD	UPC: 680577733572	新品	不要	"--"	出品者	2
GD-JMWR-KLP3	【Smart-Bear】T003 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 リュック対応 トリ 果物 花柄 (S, イエロー)	B07STH4C75	X000RS98Z3	UPC: 703556063412	新品	不要	"--"	出品者	1
HB-E5PD-U2WL	【Smart-KM】T005 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (イエロー, M)	B07K5RYSRY	X000RS958X	UPC: 703556058098	新品	不要	"--"	出品者	3
L7-MHJQ-NXY2	【Smart-Bear】W018 子供 ソックス 靴下 キッズ ガールズ お姫様 ベビー 柔らかい 春 夏 秋 通気 女の子 5足セット (イチゴ, x_l)	B093KPR8GB	X000XKQ8LR	UPC: 703556069322	新品	不要	"--"	出品者	2
LV-LGP7-RH5F	【Smart-bear】T008 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 梅花 熊 パイナップル (L, ピンク)	B07RQ5TWY8	X000RJ3N2B	UPC: 703556062330	新品	不要	"--"	出品者	5
M5-KPD9-RB5V	【Smart-Bear】T010 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 雪の女王 Frozen (ピンク, L)	B07RP581QF	X000RKID9X	UPC: 703556062606	新品	不要	"--"	出品者	2
O5-VCC0-95D9	【Smart-KM】T007 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 透明 クリア (ホワイト, M)	B077VSSXJX	X000R151AV	UPC: 680577732728	新品	不要	"--"	出品者	2
