納品番号	FBA15D2L6HB4
納品名	FBA (2022/05/24 10:51) - 1
納品プラン番号	PLN1S3X5W5
納品先	TYO2
SKU 合計	45
商品合計数	148

SKU	商品名	ASIN	FNSKU	製品コード	コンディション	梱包	梱包種類	ラベル貼付	同梱
06-YRWT-IFB9	【Smart-KM】S018 ニーハイストッキング ガーターストッキング レディース 膝上 セクシー 女装 靴下 女性用 フリーサイズ ２点セット (ブラック)	B09Y985544	X0010LALAR	UPC: 703556070168	新品	不要	"--"	出品者	5
0D-X76G-A4UZ	【Smart-Bear】T011 キッズ レインコート 女の子 子供用 レインウェア 男の子 雨具 男女兼用 小学生 レインポンチョ 防水 防風 収納ポーチ付 梅雨対策 通園 通学 入園 (ライムイエローネコ, XL)	B0B1VKTV1B	X0010V026Z	UPC: 703556070304	新品	不要	"--"	出品者	2
0W-RCOB-4NRD	【Smart-Bear】T011 キッズ レインコート 女の子 子供用 レインウェア 男の子 雨具 男女兼用 小学生 レインポンチョ 防水 防風 収納ポーチ付 梅雨対策 通園 通学 入園 (ブルー恐竜, L)	B0B1VM8X4N	X0010V05XF	UPC: 703556070397	新品	不要	"--"	出品者	2
1W-V35B-OQU4	[Smart-Bear] T308 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 (ブルー, measurement_21_point_0_centimeters)	B089Y42MCJ	X000UXZMYV	UPC: 703556068585	新品	不要	"--"	出品者	2
29-81KW-WWVL	【Smart-Bear】T011 キッズ レインコート 女の子 子供用 レインウェア 男の子 雨具 男女兼用 小学生 レインポンチョ 防水 防風 収納ポーチ付 梅雨対策 通園 通学 入園 (ピンクウサギ, XXL)	B0B1VLCL1M	X0010V02KL	UPC: 703556070267	新品	不要	"--"	出品者	2
39-62ZM-5VA7	【Smart-Bear】T012 キッズ レインコート 女の子 子供用 レインウェア 雨具 小学生 レインポンチョ 防水 防風 収納ポーチ付 梅雨対策 通園 通学 入園 (ウサギ, M)	B0B1VR91S8	X0010V0F5D	UPC: 703556070434	新品	不要	"--"	出品者	2
49-3LU5-0W12	【Smart-Bear】T011 キッズ レインコート 女の子 子供用 レインウェア 男の子 雨具 男女兼用 小学生 レインポンチョ 防水 防風 収納ポーチ付 梅雨対策 通園 通学 入園 (ピンクウサギ, M)	B0B1VNWCNW	X0010V0625	UPC: 703556070236	新品	不要	"--"	出品者	2
4J-972F-LZOQ	【Smart-Bear】T011 キッズ レインコート 女の子 子供用 レインウェア 男の子 雨具 男女兼用 小学生 レインポンチョ 防水 防風 収納ポーチ付 梅雨対策 通園 通学 入園 (ピンクウサギ, L)	B0B1VLLR8D	X0010V061B	UPC: 703556070243	新品	不要	"--"	出品者	1
4T-5C9T-6EYC	【Smart-Bear】T011 キッズ レインコート 女の子 子供用 レインウェア 男の子 雨具 男女兼用 小学生 レインポンチョ 防水 防風 収納ポーチ付 梅雨対策 通園 通学 入園 (ライムイエローネコ, XXL)	B0B1VLFV4Q	X0010V02K1	UPC: 703556070311	新品	不要	"--"	出品者	2
6I-0H96-18IA	【Smart-KM】T007 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 透明 クリア (ブラック, XXL)	B077VWS1WM	X000RJIWPT	--	新品	不要	"--"	出品者	5
