納品番号	FBA15D2PRWSX
納品名	FBA (2022/05/27 13:54) - 1
納品プラン番号	PLN1S5CDVG
納品先	KIX4
SKU 合計	18
商品合計数	68

SKU	商品名	ASIN	FNSKU	製品コード	コンディション	梱包	梱包種類	ラベル貼付	同梱
1Y-5L5D-QYMK	【Smart-Bear】W401 赤ちゃん 膝当て 二ーパッド 出産祝い 滑り止め 柔らか 膝サポーター 怪我防止 メッシュ 通気 可愛い柄 2色セット (2組セット, クマ2色セット)	B093G8VPJL	X000XK93NH	UPC: 703556069308	新品	不要	"--"	出品者	2
3T-Y9S7-7048	【Smart-Bear】W003 子供の靴下 立体 可愛い動物柄 通学 通園 キッズ ソックス 女の子 5足セット (L)	B07RNDP5VC	X000RJN7VX	UPC: 703556062736	新品	不要	"--"	出品者	20
50-RB4X-I0UD	【Smart-Bear】W007 子供の靴下 ソックス 夏 メッシュ素材 可愛い お姫様 学生用 通園 通学 男女兼用 吸湿 通気 5足セット (XL, 女)	B093G4YTGH	X000XK962P	UPC: 703556069261	新品	不要	"--"	出品者	2
70-ZTNW-C5FQ	【Smart-Bear】T003 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 リュック対応 トリ 果物 花柄 (XXXL, イエロー)	B07SSJJQY6	X000RRFKJR	UPC: 703556063474	新品	不要	"--"	出品者	2
91-7A3K-7U8I	【Smart-Bear】W003 子供の靴下 立体 可愛い動物柄 通学 通園 キッズ ソックス 女の子 5足セット (S)	B07RRJ3RVV	X000RJN8FD	UPC: 703556062712	新品	不要	"--"	出品者	8
AF-0BOJ-58FU	【Smart-Bear】T008 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 梅花 熊 パイナップル (M, ピンク)	B07RP5RVVV	X000RJ3N49	UPC: 703556062323	新品	不要	"--"	出品者	2
C8-VY3A-HL06	【Smart-Bear】W005 子供の靴下 男の子 女の子 ソックス 通園 通学 抗菌 通気性 5足セット (M)	B07RRJ5TNV	X000RJ6T1D	UPC: 703556062804	新品	不要	"--"	出品者	5
DT-RMBK-MVUT	【Smart-Bear】T003 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 リュック対応 トリ 果物 花柄 (M, イエロー)	B07SRFJ9NM	X000ROSL5F	UPC: 703556063429	新品	不要	"--"	出品者	3
FN-VIR3-GDHQ	【Smart-bear】T008 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 梅花 熊 パイナップル (XL, ピンク)	B07RN3R4CY	X000RJ3M1D	UPC: 703556062347	新品	不要	"--"	出品者	2
LM-W2YT-YFF8	【Smart-Bear】T008 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 梅花 熊 パイナップル (XXL, グリーン)	B07RQ4PJML	X000RKHTKR	UPC: 703556062293	新品	不要	"--"	出品者	2
NN-HJCD-N9FE	【Smart-bear】T008 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 梅花 熊 パイナップル (M, グリーン)	B07RP7495M	X000RKI7G7	UPC: 703556062262	新品	不要	"--"	出品者	2
NR-5Z4P-2YBS	【Smart-Bear】W003 子供の靴下 立体 可愛い動物柄 通学 通園 キッズ ソックス 女の子 5足セット (M)	B07RNDMDMY	X000RJN8F3	UPC: 703556062729	新品	不要	"--"	出品者	8
O5-VCC0-95D9	【Smart-KM】T007 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 透明 クリア (ホワイト, M)	B077VSSXJX	X000R151AV	UPC: 680577732728	新品	不要	"--"	出品者	1
QU-WN46-REY2	【Smart-Bear】W005 子供の靴下 男の子 女の子 ソックス 通園 通学 抗菌 通気性 5足セット (S)	B07RRJ2MLN	X000RKL9N5	UPC: 703556062798	新品	不要	"--"	出品者	1
SN-NFFV-BYW0	[Smart-Bear] T306 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 プルハンドル付き (サメ柄, measurement_17_point_0_centimeters)	B089WHXT1Z	X000UXRIBL	UPC: 703556068288	新品	不要	"--"	出品者	2
Y0-3WF8-8RHS	【Smart-Bear】W007 子供の靴下 ソックス 夏 メッシュ素材 可愛い お姫様 学生用 通園 通学 男女兼用 吸湿 通気 5足セット (XL, 男)	B093G52XGN	X000XK8DDN	UPC: 703556069254	新品	不要	"--"	出品者	2
YV-GX4F-U1JK	【Smart-KM】T007 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 透明 クリア (ホワイト, L)	B077VSN4H6	X000R15J6R	UPC: 680577732742	新品	不要	"--"	出品者	3
ZF-2SU1-0BTA	【Smart-Bear】T003 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 リュック対応 トリ 果物 花柄 (L, イエロー)	B07SXR9R43	X000RS9911	UPC: 703556063436	新品	不要	"--"	出品者	1
