納品番号	FBA15D2X996C
納品名	FBA (2022/06/03 11:02) - 1
納品プラン番号	PLN1S7MV51
納品先	NRT5
SKU 合計	22
商品合計数	74

SKU	商品名	ASIN	FNSKU	製品コード	コンディション	梱包	梱包種類	ラベル貼付	同梱
22-BGZI-G4D5	【Smart-Bear】T004 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (ブルー, M)	B0782YMNPM	X000WRDOQN	UPC: 680577733589	新品	不要	"--"	出品者	4
29-0QHZ-UD4C	【Smart-Bear】T003 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 リュック対応 トリ 果物 花柄 (M, ピンク)	B07STH54RG	X000RS9JTX	UPC: 703556063375	新品	不要	"--"	出品者	3
2T-CEDX-VBNH	【Smart-Bear】W001 子供の靴下 ソックス 綿 メッシュ素材 薄型 春夏適用 通学 男の子 女の子 キッズ 通園 通学 5足セット (XL)	B0888CBJL3	X000UMZTOF	UPC: 703556067632	新品	不要	"--"	出品者	2
6I-0H96-18IA	【Smart-KM】T007 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 透明 クリア (ブラック, XXL)	B077VWS1WM	X000RJIWPT	--	新品	不要	"--"	出品者	1
78-4IOZ-0IOA	【Smart-Bear】W018 子供 ソックス 靴下 キッズ ガールズ お姫様 ベビー 柔らかい 春 夏 秋 通気 女の子 5足セット (クマ, l)	B07SZT7FVL	X000RUNRJJ	UPC: 703556063597	新品	不要	"--"	出品者	2
8Y-B81U-KU22	【Smart-Bear】T004 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (ピンク, S)	B0782T4WWX	X000WRDZ71	UPC: 680577733541	新品	不要	"--"	出品者	10
91-7A3K-7U8I	【Smart-Bear】W003 子供の靴下 立体 可愛い動物柄 通学 通園 キッズ ソックス 女の子 5足セット (S)	B07RRJ3RVV	X000RJN8FD	UPC: 703556062712	新品	不要	"--"	出品者	1
9W-LC9N-P0NQ	【Smart-bear】T008 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 梅花 熊 パイナップル (S, ピンク)	B07RN5DSBD	X000RJ3N21	UPC: 703556062316	新品	不要	"--"	出品者	2
AE-2JRE-R33N	【Smart-KM】T002 韓国enbihouseレインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (ウマ, M)	B077TVGM9Y	X000RI8KRF	--	新品	不要	"--"	出品者	2
AF-0BOJ-58FU	【Smart-Bear】T008 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 梅花 熊 パイナップル (M, ピンク)	B07RP5RVVV	X000RJ3N49	UPC: 703556062323	新品	不要	"--"	出品者	2
C7-0SVD-ARIO	[Smart-Bear] T306 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 プルハンドル付き (恐竜柄, measurement_20_point_0_centimeters)	B08GGBQGFP	X000VJZLMR	--	新品	不要	"--"	出品者	1
EM-GSK7-J02B	【Smart-Bear】T003 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 リュック対応 トリ 果物 花柄 (S, ピンク)	B07STH5GK7	X000RQCC3Z	UPC: 703556063368	新品	不要	"--"	出品者	2
FN-VIR3-GDHQ	【Smart-bear】T008 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 梅花 熊 パイナップル (XL, ピンク)	B07RN3R4CY	X000RJ3M1D	UPC: 703556062347	新品	不要	"--"	出品者	2
GD-JMWR-KLP3	【Smart-Bear】T003 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 リュック対応 トリ 果物 花柄 (S, イエロー)	B07STH4C75	X000RS98Z3	UPC: 703556063412	新品	不要	"--"	出品者	2
JW-V3Y7-VVWA	【Smart-Bear】W001 子供の靴下 ソックス 綿 メッシュ素材 薄型 春夏適用 通学 男の子 女の子 キッズ 通園 通学 5足セット (L)	B0888BTMJQ	X000UMZPWB	UPC: 703556067625	新品	不要	"--"	出品者	3
L7-WXI9-AW9P	【Smart-Bear】T010 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 雪の女王 Frozen (ピンク, XXL)	B07RP6Q7SK	X000RMG0AZ	UPC: 703556062620	新品	不要	"--"	出品者	3
M5-KPD9-RB5V	【Smart-Bear】T010 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 雪の女王 Frozen (ピンク, L)	B07RP581QF	X000RKID9X	UPC: 703556062606	新品	不要	"--"	出品者	8
MH-OWU7-QZ6B	【Smart-KM】T007 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 透明 クリア (ホワイト, XXL)	B077VYDWWP	X000R15J6H	--	新品	不要	"--"	出品者	3
SI-EW2B-SYU1	【Smart-Bear】T101 フード付きタオル 子供用 マントバスタオル ビーチタオル 子ども 超吸収性 赤ちゃんポンチョ 綿 お風呂 プール ベビー 便利 柔らかい コットンバスタオル 鰐 ワニ 一角獣 ユニコーン (ユニコーン)	B07RRD55DH	X000RJLK1R	UPC: 703556062637	新品	不要	"--"	出品者	15
Y0-3WF8-8RHS	【Smart-Bear】W007 子供の靴下 ソックス 夏 メッシュ素材 可愛い お姫様 学生用 通園 通学 男女兼用 吸湿 通気 5足セット (XL, 男)	B093G52XGN	X000XK8DDN	UPC: 703556069254	新品	不要	"--"	出品者	2
