納品番号	FBA15D2ZTF9J
納品名	FBA (2022/06/06 18:35) - 1
納品プラン番号	PLN1S8RT6V
納品先	NRT5
SKU 合計	24
商品合計数	63

SKU	商品名	ASIN	FNSKU	製品コード	コンディション	梱包	梱包種類	ラベル貼付	同梱
29-0QHZ-UD4C	【Smart-Bear】T003 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 リュック対応 トリ 果物 花柄 (M, ピンク)	B07STH54RG	X000RS9JTX	UPC: 703556063375	新品	不要	"--"	出品者	2
3L-RKNM-171N	【Smart-KM】T002 韓国enbihouseレインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (ペンギン, XXL)	B077V63T99	X000RI8KQL	UPC: 680577732667	新品	不要	"--"	出品者	5
3N-Y4NV-OZB5	[Smart-Bear] T303 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 (ピンク, measurement_20_point_0_centimeters)	B089WHDBNT	X000UXVO4X	UPC: 703556068233	新品	不要	"--"	出品者	2
4M-R6F0-TJRC	【Smart-Bear】P002 キッズ服 Tシャツ ズボン 男の子 女の子 パジャマ 前開きキッズ 部屋着 寝間着ルームウェア ホームサービス ベビー 長袖 ボタン トップス ショートパンツ 上下セット服 子供 春 秋 冬 七五三 誕生日 新年 (150cm, キリン柄)	B09NHNK4KV	X000ZJ3JEF	UPC: 703556069858	新品	不要	"--"	出品者	1
8Y-B81U-KU22	【Smart-Bear】T004 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (ピンク, S)	B0782T4WWX	X000WRDZ71	UPC: 680577733541	新品	不要	"--"	出品者	3
9W-LC9N-P0NQ	【Smart-bear】T008 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 梅花 熊 パイナップル (S, ピンク)	B07RN5DSBD	X000RJ3N21	UPC: 703556062316	新品	不要	"--"	出品者	3
AF-0BOJ-58FU	【Smart-Bear】T008 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 梅花 熊 パイナップル (M, ピンク)	B07RP5RVVV	X000RJ3N49	UPC: 703556062323	新品	不要	"--"	出品者	3
BT-GNOC-X8Y0	【Smart-Bear】W017 可愛い キッズ 子供 靴下 ソックス お姫様 通気 6足 セット カラフル 女の子 薄め (XL)	B07SPZGD94	X000RRATBV	UPC: 703556063320	新品	不要	"--"	出品者	2
D3-A97R-HYD6	【Smart-Bear】T003 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 リュック対応 トリ 果物 花柄 (L, ピンク)	B07SXQV8NQ	X000RS991B	UPC: 703556063382	新品	不要	"--"	出品者	2
D7-IW96-J4L1	【Smart-Bear】T010 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 雪の女王 Frozen (ピンク, S)	B07RQ4V5TL	X000RKI9WT	UPC: 703556062583	新品	不要	"--"	出品者	5
DT-RMBK-MVUT	【Smart-Bear】T003 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 リュック対応 トリ 果物 花柄 (M, イエロー)	B07SRFJ9NM	X000ROSL5F	UPC: 703556063429	新品	不要	"--"	出品者	2
EV-5CEC-EMJP	[Smart-Bear] T306 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 プルハンドル付き (サメ柄, measurement_20_point_0_centimeters)	B089WGW78M	X000UXVU83	UPC: 703556068318	新品	不要	"--"	出品者	3
EW-TDOM-26PY	[Smart-Bear] T306 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 プルハンドル付き (サメ柄, measurement_16_point_0_centimeters)	B089WHLQGT	X000UXQ6N7	UPC: 703556068271	新品	不要	"--"	出品者	3
FC-5PIA-1JUZ	【Smart-Bear】T004 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (ピンク, XL)	B098DWYX41	X000Y4RKFP	UPC: 703556069483	新品	不要	"--"	出品者	3
FN-VIR3-GDHQ	【Smart-bear】T008 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 梅花 熊 パイナップル (XL, ピンク)	B07RN3R4CY	X000RJ3M1D	UPC: 703556062347	新品	不要	"--"	出品者	3
FQ-TZLP-HWK1	【Smart-Bear】T004 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (ピンク, M)	B0782RGD4B	X000WRDOQD	UPC: 680577733572	新品	不要	"--"	出品者	3
KU-4QVF-H97O	【Smart-Bear】T003 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 リュック対応 トリ 果物 花柄 (XL, イエロー)	B07SSF9C9K	X000ROSLCD	UPC: 703556063443	新品	不要	"--"	出品者	2
LU-ZKNB-TZVQ	【Smart-Bear】T010 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 雪の女王 Frozen (ブルー, XXL)	B07RN46T9J	X000RJ3OCF	UPC: 703556062576	新品	不要	"--"	出品者	3
N4-FJS5-AX0C	[Smart-Bear] T306 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 プルハンドル付き (サメ柄, measurement_18_point_5_centimeters)	B089WGPBWW	X000UXVU8X	UPC: 703556068295	新品	不要	"--"	出品者	3
PX-L66W-SATD	【Smart-Bear】T009 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 小さな恐竜 (M)	B07RN3F944	X000RLC8IT	UPC: 703556062507	新品	不要	"--"	出品者	1
RV-6PGA-WUBW	[Smart-Bear] T308 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 (ホワイト, measurement_21_point_0_centimeters)	B089Y9LF2J	X000UXXD29	UPC: 703556068592	新品	不要	"--"	出品者	3
UY-Y0MP-V8FJ	[Smart-Bear] T306 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 プルハンドル付き (サメ柄, measurement_19_point_0_centimeters)	B089WH17QK	X000UXQ6NH	UPC: 703556068301	新品	不要	"--"	出品者	3
Z1-3OLT-QHNT	[Smart-Bear] T308 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 (ピンク, measurement_20_point_0_centimeters)	B089Y1Z47W	X000UXZN1X	UPC: 703556068561	新品	不要	"--"	出品者	1
ZF-2SU1-0BTA	【Smart-Bear】T003 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 リュック対応 トリ 果物 花柄 (L, イエロー)	B07SXR9R43	X000RS9911	UPC: 703556063436	新品	不要	"--"	出品者	2
