納品番号	FBA15D3FPMJ3
納品名	FBA (2022/06/20 18:32) - 1
納品プラン番号	PLN1SGPV61
納品先	NRT5
SKU 合計	26
商品合計数	56

SKU	商品名	ASIN	FNSKU	製品コード	コンディション	梱包	梱包種類	ラベル貼付	同梱
1M-UIA7-WLFP	【Smart-Bear】T008 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 梅花 熊 パイナップル (L, ブルー)	B07RP5Y4R4	X000RJ3N3P	UPC: 703556062392	新品	不要	"--"	出品者	2
22-BGZI-G4D5	【Smart-Bear】T004 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (ブルー, M)	B0782YMNPM	X000WRDOQN	UPC: 680577733589	新品	不要	"--"	出品者	2
2Z-OH3T-ZZA7	【Smart-Bear】W009 子供の靴下 キッズ 子供 くつした メッシュ 通気防臭 男女兼用 男の子 女の子 可愛い 5足セット (カバ, m)	B07RSJKTMR	X000RLFX9F	UPC: 703556062927	新品	不要	"--"	出品者	1
3T-Y9S7-7048	【Smart-Bear】W003 子供の靴下 立体 可愛い動物柄 通学 通園 キッズ ソックス 女の子 5足セット (L)	B07RNDP5VC	X000RJN7VX	UPC: 703556062736	新品	不要	"--"	出品者	5
8B-NUB8-J7O4	【Smart-Bear】W023 夏 ベビー 幼児用 キッズ 子供 靴下 男の子 女の子 かわいい スポーツ 無地 通気 5足セット (動物柄, L:15〜18cm(5-7歳))	B088D9MYLT	X000UNOU3Z	UPC: 703556067946	新品	不要	"--"	出品者	2
8Y-B81U-KU22	【Smart-Bear】T004 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (ピンク, S)	B0782T4WWX	X000WRDZ71	UPC: 680577733541	新品	不要	"--"	出品者	3
92-B6HQ-0C1S	【Smart-Bear】W023 夏 ベビー 幼児用 キッズ 子供 靴下 男の子 女の子 かわいい スポーツ 無地 通気 5足セット (純色-男, XL:18〜21cm(8-11歳))	B088D9JHGN	X000UNOU35	UPC: 703556067960	新品	不要	"--"	出品者	2
9L-84XW-ZW1C	【Smart-KM】T005 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (ブルー, S)	B07K5S1K82	X000RT577Z	--	新品	不要	"--"	出品者	4
CB-0QZI-OQCR	【Smart-Bear】T101 フード付きタオル 子供用 マントバスタオル ビーチタオル 子ども 超吸収性 赤ちゃんポンチョ 綿 お風呂 プール ベビー 便利 柔らかい コットンバスタオル 鰐 ワニ 一角獣 ユニコーン (ワニ)	B07RRCXLD1	X000R1AUDJ	UPC: 703556062644	新品	不要	"--"	出品者	1
CW-JQI7-PL9B	【Smart-Bear】W023 夏 ベビー 幼児用 キッズ 子供 靴下 男の子 女の子 かわいい スポーツ 無地 通気 5足セット (動物柄, M:13〜15cm(3-4歳))	B088D9MRR4	X000UNO9B3	UPC: 703556067878	新品	不要	"--"	出品者	1
E4-2YPH-CGMT	【Smart-Bear】W006 子供の靴下 ベビー 幼児用 キッズ 子供 靴下 笑顔 ジュニア キッズ クルー丈 カラフル 女の子 男の子 スポーツ 5足セット (XL)	B093G4J9DN	X000XKCC21	UPC: 703556069247	新品	不要	"--"	出品者	2
EB-77OU-5T9F	【Smart-Bear】P001 子供用長袖パジャマ 男の子と女の子の下着子供の秋服セット綿の下着子供用コットンセーターパジャマ 丈夫で快適 綿100％ルームウェア長袖パジャマ上下セットパジャマ 2点セット子供服 長袖 寝間着 上下セット (130cm, ブルー森)	B07ZDDDXT6	X000SYHBLT	UPC: 703556065614	新品	不要	"--"	出品者	1
F7-VUUV-OD1C	【Smart-Bear】W017 可愛い キッズ 子供 靴下 ソックス お姫様 通気 6足 セット カラフル 女の子 薄め (L)	B07SPWQD3T	X000RQ88JH	UPC: 703556063313	新品	不要	"--"	出品者	3
H3-D2Y7-HO7V	【Smart-Bear】T010 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 雪の女王 Frozen (ブルー, M)	B07RTGGKQP	X000RKIE0L	UPC: 703556062545	新品	不要	"--"	出品者	4
HB-E5PD-U2WL	【Smart-KM】T005 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (イエロー, M)	B07K5RYSRY	X000RS958X	UPC: 703556058098	新品	不要	"--"	出品者	1
JH-6QHS-4DIJ	【Smart-Bear】W017 可愛い キッズ 子供 靴下 ソックス お姫様 通気 6足 セット カラフル 女の子 薄め (XXL)	B07SPZD9NB	X000RS68QP	UPC: 703556063337	新品	不要	"--"	出品者	2
L7-WXI9-AW9P	【Smart-Bear】T010 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 雪の女王 Frozen (ピンク, XXL)	B07RP6Q7SK	X000RMG0AZ	UPC: 703556062620	新品	不要	"--"	出品者	2
MA-QSR9-916V	【Smart-Bear】T004 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (ピンク, L)	B0782PTKL2	X000WRECM3	UPC: 680577733602	新品	不要	"--"	出品者	2
MD-6D6Z-EUFT	【Smart-Bear】T012 キッズ レインコート 女の子 子供用 レインウェア 雨具 小学生 レインポンチョ 防水 防風 収納ポーチ付 梅雨対策 通園 通学 入園 (ウサギ, L)	B0B1VQ33GC	X0010V0KH1	UPC: 703556070441	新品	不要	"--"	出品者	2
PZ-MY3D-O8VJ	【Smart-Bear】W002 子供の靴下 女の子 ソックス メッシュ素材 可愛い お姫様 学生用 通園通学 5足セット (B, x_l)	B07RRJ3FXS	X000RJNB91	UPC: 703556062743	新品	不要	"--"	出品者	2
RY-0PQG-6BUX	【Smart-Bear】W009 子供の靴下 キッズ 子供 くつした メッシュ 通気防臭 男女兼用 男の子 女の子 可愛い 5足セット (車, m)	B07RNDRGNN	X000RLFY6R	UPC: 703556062989	新品	不要	"--"	出品者	2
SN-NFFV-BYW0	[Smart-Bear] T306 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 プルハンドル付き (サメ柄, measurement_17_point_0_centimeters)	B089WHXT1Z	X000UXRIBL	UPC: 703556068288	新品	不要	"--"	出品者	2
T4-YR3Z-ZGYO	[Smart-Bear] T308 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 (ピンク, measurement_21_point_0_centimeters)	B089YK77LM	X000UXXDIN	UPC: 703556068608	新品	不要	"--"	出品者	2
U2-MUDQ-N4ZK	【Smart-Bear】T004 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (ブルー, S)	B0782TQTTP	X000WRDPO9	UPC: 680577733558	新品	不要	"--"	出品者	3
VB-1HM8-YF5D	【Smart-Bear】W009 子供の靴下 キッズ 子供 くつした メッシュ 通気防臭 男女兼用 男の子 女の子 可愛い 5足セット (カバ, l)	B07RRJ6YRS	X000RLFX9P	UPC: 703556062934	新品	不要	"--"	出品者	1
VQ-VE96-KZ9J	【Smart-Bear】W009 子供の靴下 キッズ 子供 くつした メッシュ 通気防臭 男女兼用 男の子 女の子 可愛い 5足セット (カバ, x_l)	B093K694W6	X000XKQ46B	UPC: 703556069353	新品	不要	"--"	出品者	2
