納品番号	FBA15D3P6HTT
納品名	FBA (2022/06/28 11:42) - 1
納品プラン番号	PLN1SKKTH4
納品先	NRT5
SKU 合計	28
商品合計数	124

SKU	商品名	ASIN	FNSKU	製品コード	コンディション	梱包	梱包種類	ラベル貼付	同梱
1T-LQ5G-BT2E	【Smart-Bear】W022 可愛い キッズ 子供 靴下 ソックス 豚 パンダ 動物柄 くるぶし ジュニア 通気 メッシュ くつした 男の子 女の子 ソックス 綿 5足セット (動物柄, S:11〜13cm(1-2歳))	B09QHWKVSQ	X000ZT0E7Z	UPC: 703556070120	新品	不要	"--"	出品者	5
47-P9CG-5ZX5	【Smart-Bear】W022 可愛い キッズ 子供 靴下 ソックス 豚 パンダ 動物柄 くるぶし ジュニア 通気 メッシュ くつした 男の子 女の子 ソックス 綿 5足セット (動物柄, XL:18〜21cm(8-11歳))	B09QHVNT46	X000ZT0155	UPC: 703556070151	新品	不要	"--"	出品者	3
4A-DTGP-MQP7	【Smart-Bear】W010 子供の靴下 キッズ 子供 くつした メッシュ 通気防臭 男女兼用 男の子 女の子 可愛い 6足セット (M)	B07RSL86XB	X000RJ6VAH	UPC: 703556062958	新品	不要	"--"	出品者	4
4O-JFNX-RKMV	【Smart-Bear】W007 子供の靴下 ソックス 夏 メッシュ素材 可愛い お姫様 学生用 通園 通学 男女兼用 吸湿 通気 5足セット (L, 男)	B07RRL7Q84	X000RLHM0N	UPC: 703556063085	新品	不要	"--"	出品者	2
57-JBDV-873U	【Smart-Bear】W001 子供の靴下 ソックス 綿 メッシュ素材 薄型 春夏適用 通学 男の子 女の子 キッズ 通園 通学 5足セット (M)	B0888BSL15	X000UN0151	UPC: 703556067618	新品	不要	"--"	出品者	4
6P-O9LV-C5GR	【Smart-Bear】W022 可愛い キッズ 子供 靴下 ソックス 豚 パンダ 動物柄 くるぶし ジュニア 通気 メッシュ くつした 男の子 女の子 ソックス 綿 5足セット (動物柄, L:15〜18cm(5-7歳))	B09QHW3DXH	X000ZT0OO3	UPC: 703556070144	新品	不要	"--"	出品者	3
8Q-VTYS-YQ5Z	【Smart-Bear】W005 子供の靴下 男の子 女の子 ソックス 通園 通学 抗菌 通気性 5足セット (L)	B07RNDQ5S7	X000RMJ4KD	UPC: 703556062811	新品	不要	"--"	出品者	5
8Y-B81U-KU22	【Smart-Bear】T004 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (ピンク, S)	B0782T4WWX	X000WRDZ71	UPC: 680577733541	新品	不要	"--"	出品者	4
97-W48L-K89A	【Smart-KM】S017 網タイツ レース ガーターストッキング ニーハイ セクシー ストッキング レディース 仮装 2点セット (ホワイト)	B07C7JX67Y	X000YPFN7L	--	新品	不要	"--"	出品者	17
DH-BSJW-QLKQ	【Smart-Bear】W401 赤ちゃん 膝当て 二ーパッド 出産祝い 滑り止め 柔らか 膝サポーター 怪我防止 メッシュ 通気 可愛い柄 2色セット (2組セット, ライオン2色セット)	B093G83MXN	X000XK93N7	UPC: 703556069292	新品	不要	"--"	出品者	6
DT-RMBK-MVUT	【Smart-Bear】T003 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 リュック対応 トリ 果物 花柄 (M, イエロー)	B07SRFJ9NM	X000ROSL5F	UPC: 703556063429	新品	不要	"--"	出品者	2
EV-5CEC-EMJP	[Smart-Bear] T306 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 プルハンドル付き (サメ柄, measurement_20_point_0_centimeters)	B089WGW78M	X000UXVU83	UPC: 703556068318	新品	不要	"--"	出品者	2
F6-ONE1-992E	【Smart-bear】T008 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 梅花 熊 パイナップル (XXXL, ピンク)	B07RN5DNXS	X000RMF9L1	UPC: 703556062361	新品	不要	"--"	出品者	2
FQ-TZLP-HWK1	【Smart-Bear】T004 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (ピンク, M)	B0782RGD4B	X000WRDOQD	UPC: 680577733572	新品	不要	"--"	出品者	6
GN-G5T3-NA3I	【Smart-Bear】W024 子供靴下 ベビーソックス 滑り止め 柔らかい 快適 吸汗通気 男の子 女の子 かわいい動物柄 通気 5足セット (B, L:16〜19cm(7-9歳))	B087TJR3F7	X000UKJEBV	UPC: 703556067359	新品	不要	"--"	出品者	2
JQ-MLRE-AH9L	【Smart-KM】S017 網タイツ レース ガーターストッキング ニーハイ セクシー ストッキング レディース 仮装 2点セット (ブラック)	B07C7NS57M	X000YPEOAN	--	新品	不要	"--"	出品者	20
KU-4QVF-H97O	【Smart-Bear】T003 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 リュック対応 トリ 果物 花柄 (XL, イエロー)	B07SSF9C9K	X000ROSLCD	UPC: 703556063443	新品	不要	"--"	出品者	1
L5-0F9K-3CIA	【Smart-Bear】W002 子供の靴下 女の子 ソックス メッシュ素材 可愛い お姫様 学生用 通園通学 5足セット (A, x_l)	B093KCMXG4	X000XKNEWN	UPC: 703556069407	新品	不要	"--"	出品者	2
LR-3KLG-FCBD	【Smart-KM】S017 網タイツ レース ガーターストッキング ニーハイ セクシー ストッキング レディース 仮装 2点セット (三色セットB)	B09P8V2ZC7	X000ZN6XDP	UPC: 703556070113	新品	不要	"--"	出品者	2
M5-KPD9-RB5V	【Smart-Bear】T010 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 雪の女王 Frozen (ピンク, L)	B07RP581QF	X000RKID9X	UPC: 703556062606	新品	不要	"--"	出品者	3
MH-HDGL-UPY9	【Smart-Bear】W002 子供の靴下 女の子 ソックス メッシュ素材 可愛い お姫様 学生用 通園通学 5足セット (B, l)	B07RPGFKYW	X000RLFVG5	UPC: 703556062705	新品	不要	"--"	出品者	3
P8-FVLY-MOEO	【Smart-Bear】W010 子供の靴下 キッズ 子供 くつした メッシュ 通気防臭 男女兼用 男の子 女の子 可愛い 6足セット (L)	B07RNDRCZX	X000RKLAH5	UPC: 703556062965	新品	不要	"--"	出品者	4
RY-0PQG-6BUX	【Smart-Bear】W009 子供の靴下 キッズ 子供 くつした メッシュ 通気防臭 男女兼用 男の子 女の子 可愛い 5足セット (車, m)	B07RNDRGNN	X000RLFY6R	UPC: 703556062989	新品	不要	"--"	出品者	4
SI-EW2B-SYU1	【Smart-Bear】T101 フード付きタオル 子供用 マントバスタオル ビーチタオル 子ども 超吸収性 赤ちゃんポンチョ 綿 お風呂 プール ベビー 便利 柔らかい コットンバスタオル 鰐 ワニ 一角獣 ユニコーン (ユニコーン)	B07RRD55DH	X000RJLK1R	UPC: 703556062637	新品	不要	"--"	出品者	8
U2-MUDQ-N4ZK	【Smart-Bear】T004 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (ブルー, S)	B0782TQTTP	X000WRDPO9	UPC: 680577733558	新品	不要	"--"	出品者	2
UC-BNLP-88EH	【Smart-Bear】W023 夏 ベビー 幼児用 キッズ 子供 靴下 男の子 女の子 かわいい スポーツ 無地 通気 5足セット (動物柄, XL:18〜21cm(8-11歳))	B088DB1KY2	X000UNOU3P	UPC: 703556068011	新品	不要	"--"	出品者	3
VF-4T5V-BQWE	【Smart-Bear】W401 赤ちゃん 膝当て 二ーパッド 出産祝い 滑り止め 柔らか 膝サポーター 怪我防止 メッシュ 通気 可愛い柄 2色セット (2組セット, ウサギ2色セット)	B093G8RXDS	X000XK9IOL	UPC: 703556069315	新品	不要	"--"	出品者	3
Y0-3WF8-8RHS	【Smart-Bear】W007 子供の靴下 ソックス 夏 メッシュ素材 可愛い お姫様 学生用 通園 通学 男女兼用 吸湿 通気 5足セット (XL, 男)	B093G52XGN	X000XK8DDN	UPC: 703556069254	新品	不要	"--"	出品者	2
