納品番号	FBA15D3XVC0K
納品名	FBA (2022/07/05 23:01) - 1
納品プラン番号	PLN1SNXJD2
納品先	KIX4
SKU 合計	30
商品合計数	70

SKU	商品名	ASIN	FNSKU	製品コード	コンディション	梱包	梱包種類	ラベル貼付	同梱
22-BGZI-G4D5	【Smart-Bear】T004 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (ブルー, M)	B0782YMNPM	X000WRDOQN	UPC: 680577733589	新品	不要	"--"	出品者	2
2Z-OH3T-ZZA7	【Smart-Bear】W009 子供の靴下 キッズ 子供 くつした メッシュ 通気防臭 男女兼用 男の子 女の子 可愛い 5足セット (カバ, m)	B07RSJKTMR	X000RLFX9F	UPC: 703556062927	新品	不要	"--"	出品者	2
3T-Y9S7-7048	【Smart-Bear】W003 子供の靴下 立体 可愛い動物柄 通学 通園 キッズ ソックス 女の子 5足セット (L)	B07RNDP5VC	X000RJN7VX	UPC: 703556062736	新品	不要	"--"	出品者	5
4A-DTGP-MQP7	【Smart-Bear】W010 子供の靴下 キッズ 子供 くつした メッシュ 通気防臭 男女兼用 男の子 女の子 可愛い 6足セット (M)	B07RSL86XB	X000RJ6VAH	UPC: 703556062958	新品	不要	"--"	出品者	2
8U-Q7NJ-DRW2	【Smart-Bear】W007 子供の靴下 ソックス 夏 メッシュ素材 可愛い お姫様 学生用 通園 通学 男女兼用 吸湿 通気 5足セット (M, 男)	B07RSN6319	X000RJOS7P	UPC: 703556063078	新品	不要	"--"	出品者	1
97-W48L-K89A	【Smart-KM】S017 網タイツ レース ガーターストッキング ニーハイ セクシー ストッキング レディース 仮装 2点セット (ホワイト)	B07C7JX67Y	X000YPFN7L	--	新品	不要	"--"	出品者	4
BE-B6BI-INN8	【Smart-Bear】W006 子供の靴下 ベビー 幼児用 キッズ 子供 靴下 笑顔 ジュニア キッズ クルー丈 カラフル 女の子 男の子 スポーツ 5足セット (L)	B07RTLC13X	X000RLFVU1	UPC: 703556062842	新品	不要	"--"	出品者	1
BT-GNOC-X8Y0	【Smart-Bear】W017 可愛い キッズ 子供 靴下 ソックス お姫様 通気 6足 セット カラフル 女の子 薄め (XL)	B07SPZGD94	X000RRATBV	UPC: 703556063320	新品	不要	"--"	出品者	2
C7-0SVD-ARIO	[Smart-Bear] T306 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 プルハンドル付き (恐竜柄, measurement_20_point_0_centimeters)	B08GGBQGFP	X000VJZLMR	--	新品	不要	"--"	出品者	2
CB-0QZI-OQCR	【Smart-Bear】T101 フード付きタオル 子供用 マントバスタオル ビーチタオル 子ども 超吸収性 赤ちゃんポンチョ 綿 お風呂 プール ベビー 便利 柔らかい コットンバスタオル 鰐 ワニ 一角獣 ユニコーン (ワニ)	B07RRCXLD1	X000R1AUDJ	UPC: 703556062644	新品	不要	"--"	出品者	2
