納品番号	FBA15D42DJ8F
納品名	FBA (2022/07/10 20:10) - 1
納品プラン番号	PLN1SPVBR8
納品先	NRT5
SKU 合計	15
商品合計数	59

SKU	商品名	ASIN	FNSKU	製品コード	コンディション	梱包	梱包種類	ラベル貼付	同梱
22-BGZI-G4D5	【Smart-Bear】T004 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (ブルー, M)	B0782YMNPM	X000WRDOQN	UPC: 680577733589	新品	不要	"--"	出品者	4
5E-IANH-I1KD	[Smart-Bear] T303 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 (イエロー, measurement_16_point_0_centimeters)	B089WGVVVS	X000UXVO61	UPC: 703556068141	新品	不要	"--"	出品者	2
97-W48L-K89A	【Smart-KM】S017 網タイツ レース ガーターストッキング ニーハイ セクシー ストッキング レディース 仮装 2点セット (ホワイト)	B07C7JX67Y	X000YPFN7L	--	新品	不要	"--"	出品者	5
E4-2YPH-CGMT	【Smart-Bear】W006 子供の靴下 ベビー 幼児用 キッズ 子供 靴下 笑顔 ジュニア キッズ クルー丈 カラフル 女の子 男の子 スポーツ 5足セット (XL)	B093G4J9DN	X000XKCC21	UPC: 703556069247	新品	不要	"--"	出品者	2
F7-VUUV-OD1C	【Smart-Bear】W017 可愛い キッズ 子供 靴下 ソックス お姫様 通気 6足 セット カラフル 女の子 薄め (L)	B07SPWQD3T	X000RQ88JH	UPC: 703556063313	新品	不要	"--"	出品者	2
JQ-MLRE-AH9L	【Smart-KM】S017 網タイツ レース ガーターストッキング ニーハイ セクシー ストッキング レディース 仮装 2点セット (ブラック)	B07C7NS57M	X000YPEOAN	--	新品	不要	"--"	出品者	5
L7-MHJQ-NXY2	【Smart-Bear】W018 子供 ソックス 靴下 キッズ ガールズ お姫様 ベビー 柔らかい 春 夏 秋 通気 女の子 5足セット (イチゴ, x_l)	B093KPR8GB	X000XKQ8LR	UPC: 703556069322	新品	不要	"--"	出品者	3
LD-I0VS-L6WL	【Smart-Bear】P001 子供用長袖パジャマ 男の子と女の子の下着子供の秋服セット綿の下着子供用コットンセーターパジャマ 丈夫で快適 綿100％ルームウェア長袖パジャマ上下セットパジャマ 2点セット子供服 長袖 寝間着 上下セット (90cm, ピンクペンギン)	B07ZDF918T	X000SYG7KP	UPC: 703556065676	新品	不要	"--"	出品者	2
LG-ANQR-6C9P	【Smart-KM】T005 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (イエロー, XL)	B07K5R541S	X000RS957T	UPC: 703556058159	新品	不要	"--"	出品者	2
N7-DJHE-BRRC	【Smart-KM】S017 網タイツ レース ガーターストッキング ニーハイ セクシー ストッキング レディース 仮装 2点セット (三色セットA)	B09P8SVSXS	X000ZN76Q3	UPC: 703556070106	新品	不要	"--"	出品者	5
OJ-Q5O2-R6XK	【Smart-KM】T005 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (ブルー, XL)	B07K5SL6NR	X000RS99BV	--	新品	不要	"--"	出品者	2
PZ-MY3D-O8VJ	【Smart-Bear】W002 子供の靴下 女の子 ソックス メッシュ素材 可愛い お姫様 学生用 通園通学 5足セット (B, x_l)	B07RRJ3FXS	X000RJNB91	UPC: 703556062743	新品	不要	"--"	出品者	5
SI-EW2B-SYU1	【Smart-Bear】T101 フード付きタオル 子供用 マントバスタオル ビーチタオル 子ども 超吸収性 赤ちゃんポンチョ 綿 お風呂 プール ベビー 便利 柔らかい コットンバスタオル 鰐 ワニ 一角獣 ユニコーン (ユニコーン)	B07RRD55DH	X000RJLK1R	UPC: 703556062637	新品	不要	"--"	出品者	16
TG-10BG-Z2R9	【Smart-bear】T006 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 サメ (L, ブルー)	B07RP6WZZR	X000RJJNN9	UPC: 703556062224	新品	不要	"--"	出品者	2
VB-1HM8-YF5D	【Smart-Bear】W009 子供の靴下 キッズ 子供 くつした メッシュ 通気防臭 男女兼用 男の子 女の子 可愛い 5足セット (カバ, l)	B07RRJ6YRS	X000RLFX9P	UPC: 703556062934	新品	不要	"--"	出品者	2
