商品名	出品ID	出品者SKU	価格	数量	出品日	商品IDタイプ	コンディション説明	コンディション	国外へ配送可	迅速な配送	商品ID	在庫数	フルフィルメント・チャンネル	merchant-shipping-group
【Smart-Bear】W106 女の子 靴下 ガールズ くつした ストッキング 子供 ベイビー ダンス用 子ども お姫様の靴下 学生用 厚い 暖かい 秋 冬 防寒ウールソックス 入学式 通園 通学 発表会 くつした 3足セット (S:11～13cm(1-3歳))	0824VK7I73A	08-AUIO-RMCP	880		2019/08/24 22:11:59 JST	3		11			703556064532		AMAZON_JP	移行された配送パターン
【Smart-Bear】T006 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 サメ (XXL, グレー)	0607VZ0K5IC	0L-8U5H-FML5	2180		2019/06/08 08:49:08 JST	3		11			703556063481		AMAZON_JP	移行された配送パターン
【Smart-bear】T006 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 サメ (M, ピンク)	0510VER62EE	1A-NZX0-PYW2	2180		2019/05/10 10:29:14 JST	3		11			703556062156		AMAZON_JP	移行された配送パターン
【Smart-Bear】W111ガールズ ボーイズ 靴下 子供 キッズ 厚い 暖かい 冬用 防寒 靴下 ソックス 女の子 ウールソックス 滑り止めつき 吸汗通気 快適 ベビー 赤ちゃん 柔らかい 綿混靴下 通学 入園 スポーツ 5足セット (L:17～19cm(7-9歳), 純色)	1204V9ON4PO	1F-KD47-PJGB	1580		2019/12/04 15:47:30 JST	3		11			703556066161		AMAZON_JP	移行された配送パターン
【Smart-Bear】T008 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 梅花 熊 パイナップル (L, ブルー)	0510VCIG8KQ	1M-UIA7-WLFP	2050		2019/05/10 10:54:49 JST	3		11			703556062392		AMAZON_JP	移行された配送パターン
【Smart-Bear】W107 女の子 靴下 ガールズ ストッキング 子供 くつした ベイビー ダンス用 子ども お姫様の靴下 かわいい蝶結び 学生用 厚い 暖かい 秋 冬 防寒ウールソックス 4色4足セット (M:11～13cm(1-3歳))	0824VO0HCE0	1T-DNJW-2ZEQ	1580		2019/08/24 22:18:29 JST	3		11			703556064563		AMAZON_JP	移行された配送パターン
【Smart-Bear】T009 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 小さな恐竜 (XL)	0510VDKX4H1	22-9KDS-HIZ1	1680		2019/05/10 11:07:49 JST	3		11			703556062521		AMAZON_JP	移行された配送パターン
【Smart-Bear】W108 可愛い キッズ 靴下 子供 ボーイズ 靴下 男の子 車 星模様 抗菌防臭 吸汗吸湿 弾性 かわいい 通学 綿 秋冬 5足セット (星柄, S: 13～15cm(2-4歳))	1018V1Y4ZNU	22-ZTAL-HTTC	1180		2019/10/18 11:17:28 JST	3		11			703556065454		AMAZON_JP	移行された配送パターン
【Smart-Bear】W012 子供の靴下 キッズ 子供 くつした メッシュ 通気防臭 男女兼用 男の子 女の子 可愛い 5足セット (M)	0511VJS4WXX	23-0YER-18BE	899		2019/05/11 23:51:50 JST	3		11			703556063016		AMAZON_JP	移行された配送パターン
【Smart-Bear】W004 子供の靴下 動物柄 通学 通園 キッズ ソックス 女の子 ソックス カラーフル メッシュ素材 5足セット (L)	0511VH1QU3I	23-SVOF-WCB1	899		2019/05/11 22:50:31 JST	3		11			703556062781		AMAZON_JP	移行された配送パターン
【Smart-Bear】T003 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 リュック対応 トリ 果物 花柄 (M, ピンク)	0607VZQDHKU	29-0QHZ-UD4C	1780		2019/06/07 10:15:59 JST	3		11			703556063375		AMAZON_JP	移行された配送パターン
【Smart-Bear】W017 可愛い キッズ 子供 靴下 ソックス お姫様 通気6足 セット カラフル 女の子 薄め (S)	0605VVXH648	2A-4FUA-XKMU	1480		2019/06/05 10:34:19 JST	3		11			703556063290		AMAZON_JP	移行された配送パターン
【Smart-Bear】W015 子供の靴下 キッズ 靴下 子供 カラフル 可愛い くつした 女の子 ソックス 綿 5足セット (S)	0605VWWN54O	2C-JXSK-JWTF	1050		2019/06/05 09:53:30 JST	3		11			703556063238		AMAZON_JP	移行された配送パターン
【Smart-Bear】W110 子供用靴下秋と冬の新しい男の子綿の靴下赤ちゃん小さな子供漫画笑顔春と秋の長い靴下 幼児用 キッズ 子供 通学 通園 靴下 可愛い 女の子 男の子 スポーツ くつした 秋 冬 5足セット (XL:18～21cm(8-10歳), 笑顔柄)	1204V9OL9Z9	2C-OMB5-LWES	1380		2019/12/04 15:35:00 JST	3		11			703556066093		AMAZON_JP	移行された配送パターン
【Smart-Bear】W110 子供用靴下秋と冬の新しい男の子綿の靴下赤ちゃん小さな子供漫画笑顔春と秋の長い靴下 幼児用 キッズ 子供 通学 通園 靴下 可愛い 女の子 男の子 スポーツ くつした 秋 冬 5足セット (S: 11～13cm(1-3歳), 笑顔柄)	1204V9NULY9	2G-4M7E-CPTT	1380		2019/12/04 15:35:00 JST	3		11			703556066062		AMAZON_JP	移行された配送パターン
【Smart-bear】T006 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 サメ (L, グレー)	0510VDJJY1C	2T-HEXS-COB6	2180		2019/05/10 10:29:14 JST	3		11			703556062187		AMAZON_JP	移行された配送パターン
【Smart-Bear】W009 子供の靴下 キッズ 子供 くつした メッシュ 通気防臭 男女兼用 男の子 女の子 可愛い 5足セット (M)	0511VKP2KHZ	2Z-OH3T-ZZA7	899		2019/05/11 23:30:25 JST	3		11			703556062927		AMAZON_JP	移行された配送パターン
