seller-sku	asin	item-name	price	estimated-referral-fee-per-item
08-AUIO-RMCP	B07WYQ47NG	【Smart-Bear】W106 女の子 靴下 ガールズ くつした ストッキング 子供 ベイビー ダンス用 子ども お姫様の靴下 学生用 厚い 暖かい 秋 冬 防寒ウールソックス 入学式 通園 通学 発表会 くつした 3足セット (S:11～13cm(1-3歳))	880.00	132.00
0L-8U5H-FML5	B07SSHRDYL	【Smart-Bear】T006 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 サメ (XXL, グレー)	2180.00	327.00
1A-NZX0-PYW2	B07RP5SL37	【Smart-bear】T006 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 サメ (M, ピンク)	2180.00	327.00
1F-KD47-PJGB	B0829SV8S2	【Smart-Bear】W111ガールズ ボーイズ 靴下 子供 キッズ 厚い 暖かい 冬用 防寒 靴下 ソックス 女の子 ウールソックス 滑り止めつき 吸汗通気 快適 ベビー 赤ちゃん 柔らかい 綿混靴下 通学 入園 スポーツ 5足セット (L:17～19cm(7-9歳), 純色)	1580.00	237.00
1M-UIA7-WLFP	B07RP5Y4R4	【Smart-Bear】T008 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 梅花 熊 パイナップル (L, ブルー)	2050.00	308.00
1T-DNJW-2ZEQ	B07WZ18RDF	【Smart-Bear】W107 女の子 靴下 ガールズ ストッキング 子供 くつした ベイビー ダンス用 子ども お姫様の靴下 かわいい蝶結び 学生用 厚い 暖かい 秋 冬 防寒ウールソックス 4色4足セット (M:11～13cm(1-3歳))	1580.00	237.00
22-9KDS-HIZ1	B07RQ4M7ZG	【Smart-Bear】T009 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 小さな恐竜 (XL)	1680.00	252.00
22-ZTAL-HTTC	B07Z8NVJ85	【Smart-Bear】W108 可愛い キッズ 靴下 子供 ボーイズ 靴下 男の子 車 星模様 抗菌防臭 吸汗吸湿 弾性 かわいい 通学 綿 秋冬 5足セット (星柄, S: 13～15cm(2-4歳))	1180.00	177.00
23-0YER-18BE	B07RTNMPDX	【Smart-Bear】W012 子供の靴下 キッズ 子供 くつした メッシュ 通気防臭 男女兼用 男の子 女の子 可愛い 5足セット (M)	899.00	135.00
23-SVOF-WCB1	B07RQDXKKW	【Smart-Bear】W004 子供の靴下 動物柄 通学 通園 キッズ ソックス 女の子 ソックス カラーフル メッシュ素材 5足セット (L)	899.00	135.00
29-0QHZ-UD4C	B07STH54RG	【Smart-Bear】T003 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 リュック対応 トリ 果物 花柄 (M, ピンク)	1780.00	267.00
